# zrecast — the names that are answered, and how.
#
# SYMBOL<TAB>VERDICT<TAB>EVIDENCE, one line per public Recast/Detour name that
# is not a gap. This is the only hand-maintained half of the coverage record:
# tools/record.sh joins it with the upstream harvest and tools/tranches.awk to
# write tools/unbound_*.txt, and ci/check-coverage.sh then checks every line of
# it against the tree.
#
# Binding a name is one line appended here. The verdicts:
#
#   BOUND      a zrecast entry point a host can call to get the capability
#   EXTENSION  zrecast offers it in a shape upstream does not have
#   LANGUAGE   Zig spells it directly; the evidence names the facility
#   ZIG        src/FILE.zig:decl implements it
#   INTERNAL   upstream marks it internal; tools/classify.sh must agree
#
# Evidence is prose that has to survive a check: BOUND and EXTENSION name a
# symbol ffi/*.h declares, LANGUAGE names a facility from a closed list, ZIG
# names a declaration that exists, and INTERNAL must match what classify.sh
# computes. Sorted by symbol.
const:-::DT_MAX_TOUCHED_TILES	BOUND	ZRC_MAX_TOUCHED_TILES mirrors it exactly (static_assert in zrecast_abi.cpp), and it is the ceiling zrcTileCacheAddBoxObstacle refuses an obstacle for rather than letting upstream carve into eight and stop
const:-::DT_NAVMESH_MAGIC	BOUND	zrcNavMeshValidate is how a host asks whether a buffer is a navmesh image at all, which is what a C++ host uses this constant for; a mismatch is ZRC_ERR_BAD_FORMAT
const:-::DT_NAVMESH_STATE_MAGIC	BOUND	zrcNavMeshRestoreTileState surfaces upstream's magic check on the blob as ZRC_ERR_BAD_FORMAT
const:-::DT_NAVMESH_STATE_VERSION	BOUND	zrcNavMeshRestoreTileState surfaces upstream's version check on the blob as ZRC_ERR_UNSUPPORTED_VERSION
const:-::DT_NAVMESH_VERSION	BOUND	zrcNavMeshDataVersion returns this value directly (ffi/zrecast_core.cpp)
const:-::DT_NODE_PARENT_BITS	BOUND	the width ZrcNode.parent_index is packed into upstream and reported whole here
const:-::DT_NODE_STATE_BITS	BOUND	the width ZrcNode.state is packed into upstream and reported whole here
const:-::DT_NULL_IDX	BOUND	ZrcNode.parent_index of 0, which is how zrcQueryNodeAt spells no node
const:-::DT_NULL_LINK	BOUND	ZRC_NULL_LINK mirrors it exactly; it ends the chain walked from ZrcPolyInfo.first_link through ZrcLink.next
const:-::DT_OFFMESH_CON_BIDIR	BOUND	ZrcOffMeshConnection.bidirectional, which decides whether B's ground polygon lists the connection as a neighbour
const:-::DT_OUT_OF_MEMORY	BOUND	ZRC_ERR_OUT_OF_MEMORY is returned by zrc::ResultFromStatus when this detail bit is set
const:-::DT_OUT_OF_NODES	BOUND	ZRC_ERR_OUT_OF_NODES is returned by zrc::ResultFromStatus when this detail bit is set
const:-::DT_PARTIAL_RESULT	BOUND	zrc::StatusIsPartial tests this bit and it surfaces through zrcFindPath's out_partial and zrcMoveAlongSurface/zrcRaycast's out_truncated parameters
const:-::DT_PATHQ_INVALID	BOUND	ZRC_PATH_REQUEST_NONE, what zrcPathQueueRequest reports when every slot is taken
const:-::DT_POLY_BITS	BOUND	zrcDecodePolyRef and zrcEncodePolyRef, which split and rebuild a reference along it
const:-::DT_RAY_CAST_LIMIT_PROPORTIONS	BOUND	ZRC_RAYCAST_LIMIT_PROPORTIONS mirrors it exactly
const:-::DT_SALT_BITS	BOUND	zrcDecodePolyRef and zrcEncodePolyRef, which split and rebuild a reference along it
const:-::DT_STATUS_DETAIL_MASK	BOUND	the detail bits it masks are what zrc::ResultFromStatus turns into a ZrcResult, and what the out_partial and out_truncated flags report
const:-::DT_SUCCESS	BOUND	ZRC_OK is returned by zrc::ResultFromStatus (via dtStatusSucceed) whenever this bit is set
const:-::DT_TILECACHE_MAGIC	BOUND	ZRC_TILECACHE_MAGIC mirrors it exactly (static_assert in zrecast_abi.cpp), and zrcTileCacheAddTile is how a host asks whether a buffer is a compressed layer
const:-::DT_TILECACHE_NULL_AREA	BOUND	ZRC_TILECACHE_AREA_NULL mirrors it exactly (static_assert in zrecast_abi.cpp)
const:-::DT_TILECACHE_NULL_IDX	BOUND	ZRC_TILECACHE_NULL_IDX mirrors it exactly (static_assert in zrecast_abi.cpp); it is what zrcTileCachePolyMeshPolys writes past a polygon's last corner
const:-::DT_TILECACHE_VERSION	BOUND	ZRC_TILECACHE_VERSION mirrors it exactly (static_assert in zrecast_abi.cpp); a mismatch is ZRC_ERR_UNSUPPORTED_VERSION
const:-::DT_TILECACHE_WALKABLE_AREA	BOUND	ZRC_TILECACHE_AREA_WALKABLE mirrors it exactly (static_assert in zrecast_abi.cpp)
const:-::DT_TILE_BITS	BOUND	zrcDecodePolyRef and zrcEncodePolyRef, which split and rebuild a reference along it
const:-::DT_VERTS_PER_POLYGON	BOUND	ZRC_VERTS_PER_POLYGON mirrors this exactly (static_assert in zrecast_abi.cpp)
const:-::DT_WRONG_MAGIC	BOUND	ZRC_ERR_BAD_FORMAT is returned by zrc::ResultFromStatus when this detail bit is set
const:-::DT_WRONG_VERSION	BOUND	ZRC_ERR_UNSUPPORTED_VERSION is returned by zrc::ResultFromStatus when this detail bit is set
const:-::RC_AREA_BORDER	BOUND	ZRC_AREA_BORDER mirrors it exactly: the flag zrcContourVerts and zrcContourRawVerts set above ZRC_CONTOUR_REG_MASK when a vertex sits on an area boundary
const:-::RC_BORDER_REG	BOUND	ZRC_BORDER_REG mirrors it exactly: the region id zrcCompactHeightfieldSpans and zrcCompactHeightfieldSetSpans read and write in ZrcCompactSpan.reg for a border span
const:-::RC_BORDER_VERTEX	BOUND	ZRC_BORDER_VERTEX mirrors it exactly: the flag zrcContourVerts and zrcContourRawVerts set above ZRC_CONTOUR_REG_MASK when a vertex sits on a tile border
const:-::RC_CONTOUR_REG_MASK	BOUND	ZRC_CONTOUR_REG_MASK mirrors it exactly, the mask zrcContourVerts and zrcContourRawVerts document for isolating the region id from a vertex's fourth component
const:-::RC_MESH_NULL_IDX	BOUND	ZRC_MESH_NULL_IDX mirrors it exactly, the value zrcPolyMeshPolys reports where a polygon has no further corner and no neighbour
const:-::RC_MULTIPLE_REGS	BOUND	ZRC_MULTIPLE_REGS mirrors it exactly, the region id zrcPolyMeshRegions reports for a polygon merged from more than one region
const:-::RC_NOT_CONNECTED	BOUND	ZRC_NOT_CONNECTED mirrors it exactly, the value ZrcCompactSpan.con packs into each direction with no neighbour
const:-::RC_NULL_AREA	BOUND	ZRC_AREA_NULL - the area id Recast gives an unwalkable surface, same value
const:-::RC_PI	LANGUAGE	std.math.pi, which rounds to this float exactly; Recast reaches for its copy only to turn a slope limit into a cosine, and zrc::CosDegrees does that from degrees so nothing crosses the boundary in radians
const:-::RC_SPANS_PER_POOL	BOUND	ZRC_SPANS_PER_POOL mirrors it exactly; zrcHeightfieldStorage reports it back verbatim as ZrcHeightfieldStorage.spans_per_pool
const:-::RC_SPAN_HEIGHT_BITS	BOUND	ZRC_SPAN_HEIGHT_BITS mirrors it exactly, the bit width zrcHeightfieldAddSpan and the rasterisation entry points bound span_min/span_max against
const:-::RC_SPAN_MAX_HEIGHT	BOUND	ZRC_SPAN_MAX_HEIGHT mirrors it exactly, the ceiling zrcHeightfieldAddSpan's span_max and ZrcSpan.smax are checked against
const:-::RC_WALKABLE_AREA	BOUND	ZRC_AREA_WALKABLE - the area id zrcPolyMeshBake gives a walkable surface, same value
enum:CrowdAgentState::DT_CROWDAGENT_STATE_INVALID	BOUND	ZRC_CROWD_AGENT_INVALID, reported by ZrcCrowdAgent.state
enum:CrowdAgentState::DT_CROWDAGENT_STATE_OFFMESH	BOUND	ZRC_CROWD_AGENT_OFFMESH, reported by ZrcCrowdAgent.state
enum:CrowdAgentState::DT_CROWDAGENT_STATE_WALKING	BOUND	ZRC_CROWD_AGENT_WALKING, reported by ZrcCrowdAgent.state
enum:MoveRequestState::DT_CROWDAGENT_TARGET_FAILED	BOUND	ZRC_CROWD_TARGET_FAILED, reported by ZrcCrowdAgent.target_state
enum:MoveRequestState::DT_CROWDAGENT_TARGET_NONE	BOUND	ZRC_CROWD_TARGET_NONE, reported by ZrcCrowdAgent.target_state
enum:MoveRequestState::DT_CROWDAGENT_TARGET_REQUESTING	BOUND	ZRC_CROWD_TARGET_REQUESTING, reported by ZrcCrowdAgent.target_state
enum:MoveRequestState::DT_CROWDAGENT_TARGET_VALID	BOUND	ZRC_CROWD_TARGET_VALID, reported by ZrcCrowdAgent.target_state
enum:MoveRequestState::DT_CROWDAGENT_TARGET_VELOCITY	BOUND	ZRC_CROWD_TARGET_VELOCITY, reported by ZrcCrowdAgent.target_state
enum:MoveRequestState::DT_CROWDAGENT_TARGET_WAITING_FOR_PATH	BOUND	ZRC_CROWD_TARGET_WAITING_FOR_PATH, reported by ZrcCrowdAgent.target_state
enum:MoveRequestState::DT_CROWDAGENT_TARGET_WAITING_FOR_QUEUE	BOUND	ZRC_CROWD_TARGET_WAITING_FOR_QUEUE, reported by ZrcCrowdAgent.target_state
enum:ObstacleState::DT_OBSTACLE_EMPTY	BOUND	ZRC_OBSTACLE_EMPTY, which zrcTileCacheObstacleRefAt reports as a 0 reference; zrcTileCacheObstacleInfo can never report it, because upstream turns the slot's salt over in the same statement that sets it
enum:ObstacleState::DT_OBSTACLE_PROCESSED	BOUND	ZRC_OBSTACLE_PROCESSED, which ZrcObstacleInfo.state reports once every tile it touches has been rebuilt
enum:ObstacleState::DT_OBSTACLE_PROCESSING	BOUND	ZRC_OBSTACLE_PROCESSING, which ZrcObstacleInfo.state reports between an add and the update that carves it
enum:ObstacleState::DT_OBSTACLE_REMOVING	BOUND	ZRC_OBSTACLE_REMOVING, which ZrcObstacleInfo.state reports between a removal request and the update that completes it
enum:ObstacleType::DT_OBSTACLE_BOX	BOUND	ZRC_OBSTACLE_BOX, which ZrcObstacleInfo.shape reports
enum:ObstacleType::DT_OBSTACLE_CYLINDER	BOUND	ZRC_OBSTACLE_CYLINDER, which ZrcObstacleInfo.shape reports
enum:ObstacleType::DT_OBSTACLE_ORIENTED_BOX	BOUND	ZRC_OBSTACLE_ORIENTED_BOX, which ZrcObstacleInfo.shape reports
enum:UpdateFlags::DT_CROWD_ANTICIPATE_TURNS	BOUND	ZRC_CROWD_ANTICIPATE_TURNS, set in ZrcCrowdAgentParams.update_flags
enum:UpdateFlags::DT_CROWD_OBSTACLE_AVOIDANCE	BOUND	ZRC_CROWD_OBSTACLE_AVOIDANCE, set in ZrcCrowdAgentParams.update_flags
enum:UpdateFlags::DT_CROWD_OPTIMIZE_TOPO	BOUND	ZRC_CROWD_OPTIMIZE_TOPO, set in ZrcCrowdAgentParams.update_flags
enum:UpdateFlags::DT_CROWD_OPTIMIZE_VIS	BOUND	ZRC_CROWD_OPTIMIZE_VIS, set in ZrcCrowdAgentParams.update_flags
enum:UpdateFlags::DT_CROWD_SEPARATION	BOUND	ZRC_CROWD_SEPARATION, set in ZrcCrowdAgentParams.update_flags
enum:dtAllocHint::DT_ALLOC_PERM	BOUND	ZRC_ALLOC_PERM (ZrcAllocHint mirrors dtAllocHint exactly, static_assert in zrecast_abi.cpp)
enum:dtAllocHint::DT_ALLOC_TEMP	BOUND	ZRC_ALLOC_TEMP (ZrcAllocHint mirrors dtAllocHint exactly, static_assert in zrecast_abi.cpp)
enum:dtCompressedTileFlags::DT_COMPRESSEDTILE_FREE_DATA	BOUND	zrcTileCacheAddTile always sets it: the bytes it adds are its own copy, which is why the caller keeps ownership of the buffer it passed
enum:dtDetailTriEdgeFlags::DT_DETAIL_EDGE_BOUNDARY	BOUND	ZRC_DETAIL_EDGE_BOUNDARY mirrors the bit exactly
enum:dtFindPathOptions::DT_FINDPATH_ANY_ANGLE	BOUND	ZRC_FINDPATH_ANY_ANGLE mirrors the bit exactly
enum:dtNodeFlags::DT_NODE_CLOSED	BOUND	ZRC_NODE_CLOSED mirrors the bit exactly
enum:dtNodeFlags::DT_NODE_OPEN	BOUND	ZRC_NODE_OPEN mirrors the bit exactly
enum:dtNodeFlags::DT_NODE_PARENT_DETACHED	BOUND	ZRC_NODE_PARENT_DETACHED mirrors the bit exactly
enum:dtPolyTypes::DT_POLYTYPE_GROUND	BOUND	ZRC_POLY_GROUND, reported by zrcNavMeshGetPolyType with the identical value
enum:dtPolyTypes::DT_POLYTYPE_OFFMESH_CONNECTION	BOUND	ZRC_POLY_OFFMESH_CONNECTION, reported by zrcNavMeshGetPolyType with the identical value
enum:dtRaycastOptions::DT_RAYCAST_USE_COSTS	BOUND	ZRC_RAYCAST_USE_COSTS mirrors the bit exactly
enum:dtStraightPathFlags::DT_STRAIGHTPATH_END	BOUND	ZRC_STRAIGHTPATH_END, written into zrcFindStraightPath's out_flags array with the identical bit value
enum:dtStraightPathFlags::DT_STRAIGHTPATH_OFFMESH_CONNECTION	BOUND	ZRC_STRAIGHTPATH_OFFMESH_CONNECTION mirrors this bit exactly in zrcFindStraightPath's out_flags
enum:dtStraightPathFlags::DT_STRAIGHTPATH_START	BOUND	ZRC_STRAIGHTPATH_START, written into zrcFindStraightPath's out_flags array with the identical bit value
enum:dtStraightPathOptions::DT_STRAIGHTPATH_ALL_CROSSINGS	BOUND	ZRC_STRAIGHTPATH_ALL_CROSSINGS mirrors the bit exactly
enum:dtStraightPathOptions::DT_STRAIGHTPATH_AREA_CROSSINGS	BOUND	ZRC_STRAIGHTPATH_AREA_CROSSINGS mirrors the bit exactly
enum:dtTileFlags::DT_TILE_FREE_DATA	BOUND	ZRC_TILE_FREE_DATA mirrors it exactly, reported in ZrcTileInfo.flags
enum:rcAllocHint::RC_ALLOC_PERM	BOUND	ZRC_ALLOC_PERM - passed through verbatim to the host allocate callback
enum:rcAllocHint::RC_ALLOC_TEMP	BOUND	ZRC_ALLOC_TEMP - passed through verbatim to the host allocate callback
enum:rcBuildContoursFlags::RC_CONTOUR_TESS_AREA_EDGES	BOUND	ZRC_CONTOUR_TESS_AREA_EDGES mirrors the bit exactly, one of the flags zrcContourSetCreate's flags parameter takes
enum:rcBuildContoursFlags::RC_CONTOUR_TESS_WALL_EDGES	BOUND	ZRC_CONTOUR_TESS_WALL_EDGES mirrors the bit exactly, one of the flags zrcContourSetCreate's flags parameter takes
enum:rcLogCategory::RC_LOG_ERROR	BOUND	ZRC_LOG_ERROR mirrors it exactly, the category zrcBuildContextLog takes and ZrcBuildContext.log receives from an erroring stage
enum:rcLogCategory::RC_LOG_PROGRESS	BOUND	ZRC_LOG_PROGRESS mirrors it exactly, the category zrcBuildContextLog takes and ZrcBuildContext.log receives from a progress message
enum:rcLogCategory::RC_LOG_WARNING	BOUND	ZRC_LOG_WARNING mirrors it exactly, the category zrcBuildContextLog takes and ZrcBuildContext.log receives from a warning
enum:rcTimerLabel::RC_MAX_TIMERS	BOUND	ZRC_MAX_TIMERS mirrors it exactly: not a phase to time but the length of the label table, one past ZRC_TIMER_MERGE_POLYMESHDETAIL
enum:rcTimerLabel::RC_TIMER_BUILD_COMPACTHEIGHTFIELD	BOUND	ZRC_TIMER_BUILD_COMPACTHEIGHTFIELD mirrors it exactly, the label zrcCompactHeightfieldCreate starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_CONTOURS	BOUND	ZRC_TIMER_BUILD_CONTOURS mirrors it exactly, the label zrcContourSetCreate starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_CONTOURS_SIMPLIFY	BOUND	ZRC_TIMER_BUILD_CONTOURS_SIMPLIFY mirrors it exactly, one of the finer-grained labels zrcContourSetCreate starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_CONTOURS_TRACE	BOUND	ZRC_TIMER_BUILD_CONTOURS_TRACE mirrors it exactly, one of the finer-grained labels zrcContourSetCreate starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_DISTANCEFIELD	BOUND	ZRC_TIMER_BUILD_DISTANCEFIELD mirrors it exactly, the label zrcCompactHeightfieldBuildDistanceField starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_DISTANCEFIELD_BLUR	BOUND	ZRC_TIMER_BUILD_DISTANCEFIELD_BLUR mirrors it exactly, one of the finer-grained labels zrcCompactHeightfieldBuildDistanceField starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_DISTANCEFIELD_DIST	BOUND	ZRC_TIMER_BUILD_DISTANCEFIELD_DIST mirrors it exactly, one of the finer-grained labels zrcCompactHeightfieldBuildDistanceField starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_LAYERS	BOUND	ZRC_TIMER_BUILD_LAYERS mirrors it exactly, the label zrcCompactHeightfieldBuildRegions starts and stops around ZRC_PARTITION_LAYERS; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_POLYMESH	BOUND	ZRC_TIMER_BUILD_POLYMESH mirrors it exactly, the label zrcPolyMeshBuild starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_POLYMESHDETAIL	BOUND	ZRC_TIMER_BUILD_POLYMESHDETAIL mirrors it exactly, the label zrcPolyMeshBuildDetail starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_REGIONS	BOUND	ZRC_TIMER_BUILD_REGIONS mirrors it exactly, the label zrcCompactHeightfieldBuildRegions starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_REGIONS_EXPAND	BOUND	ZRC_TIMER_BUILD_REGIONS_EXPAND mirrors it exactly, one of the finer-grained labels zrcCompactHeightfieldBuildRegions starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_REGIONS_FILTER	BOUND	ZRC_TIMER_BUILD_REGIONS_FILTER mirrors it exactly, one of the finer-grained labels zrcCompactHeightfieldBuildRegions starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_REGIONS_FLOOD	BOUND	ZRC_TIMER_BUILD_REGIONS_FLOOD mirrors it exactly, one of the finer-grained labels zrcCompactHeightfieldBuildRegions starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_BUILD_REGIONS_WATERSHED	BOUND	ZRC_TIMER_BUILD_REGIONS_WATERSHED mirrors it exactly, one of the finer-grained labels zrcCompactHeightfieldBuildRegions starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_ERODE_AREA	BOUND	ZRC_TIMER_ERODE_AREA mirrors it exactly, the label zrcCompactHeightfieldErode starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_FILTER_BORDER	BOUND	ZRC_TIMER_FILTER_BORDER mirrors it exactly, one of the labels the heightfield filter entry points start and stop around themselves; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_FILTER_LOW_OBSTACLES	BOUND	ZRC_TIMER_FILTER_LOW_OBSTACLES mirrors it exactly, the label zrcHeightfieldFilterLowHangingObstacles starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_FILTER_WALKABLE	BOUND	ZRC_TIMER_FILTER_WALKABLE mirrors it exactly, the label zrcHeightfieldFilterWalkableLowHeightSpans starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_MARK_BOX_AREA	BOUND	ZRC_TIMER_MARK_BOX_AREA mirrors it exactly, the label zrcCompactHeightfieldMarkAreas starts and stops around a ZRC_VOLUME_BOX volume; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_MARK_CONVEXPOLY_AREA	BOUND	ZRC_TIMER_MARK_CONVEXPOLY_AREA mirrors it exactly, the label zrcCompactHeightfieldMarkAreas starts and stops around a ZRC_VOLUME_CONVEX volume; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_MARK_CYLINDER_AREA	BOUND	ZRC_TIMER_MARK_CYLINDER_AREA mirrors it exactly, the label zrcCompactHeightfieldMarkAreas starts and stops around a ZRC_VOLUME_CYLINDER volume; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_MEDIAN_AREA	BOUND	ZRC_TIMER_MEDIAN_AREA mirrors it exactly, the label zrcCompactHeightfieldMedianFilter starts and stops around itself; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_MERGE_POLYMESH	BOUND	ZRC_TIMER_MERGE_POLYMESH mirrors it exactly, the label zrcPolyMeshMerge starts and stops around its polygon half; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_MERGE_POLYMESHDETAIL	BOUND	ZRC_TIMER_MERGE_POLYMESHDETAIL mirrors it exactly, the label zrcPolyMeshMerge starts and stops around its detail half; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_RASTERIZE_TRIANGLES	BOUND	ZRC_TIMER_RASTERIZE_TRIANGLES mirrors it exactly, the label the rasterisation entry points start and stop around themselves; zrcBuildContextAccumulatedTime reads what it measured
enum:rcTimerLabel::RC_TIMER_TEMP	BOUND	ZRC_TIMER_TEMP mirrors it exactly; Recast never starts this one either, so it is also the host's own to start and stop with zrcBuildContextStartTimer/zrcBuildContextStopTimer for whatever it wants to measure
enum:rcTimerLabel::RC_TIMER_TOTAL	BOUND	ZRC_TIMER_TOTAL mirrors it exactly; Recast never starts this one, so it is the host's own to start and stop with zrcBuildContextStartTimer/zrcBuildContextStopTimer for the whole build
field:dtBVNode::bmax	BOUND	ZrcBvNode.bmax
field:dtBVNode::bmin	BOUND	ZrcBvNode.bmin
field:dtBVNode::i	BOUND	ZrcBvNode.i
field:dtCompressedTile::compressed	BOUND	the payload after the header, which zrcTileCacheAddTile bounds by requiring the buffer to be at least a header long before upstream computes this pointer
field:dtCompressedTile::compressedSize	BOUND	the length upstream derives by subtracting the header size, which zrcTileCacheAddTile keeps non-negative by checking the buffer first
field:dtCompressedTile::data	BOUND	zrcTileCacheRemoveTile hands the bytes back, and zrcTileCacheAddTile is what put them there
field:dtCompressedTile::dataSize	BOUND	ZrcCompressedTileInfo.data_size, and the length zrcTileCacheRemoveTile reports with the bytes
field:dtCompressedTile::flags	BOUND	zrcTileCacheAddTile sets DT_COMPRESSEDTILE_FREE_DATA, the only flag this field has
field:dtCompressedTile::header	BOUND	ZrcCompressedTileInfo carries every field of it, and a slot whose header is null is reported as a free slot by zrcTileCacheTileRefAt
field:dtCompressedTile::next	BOUND	the free-list and hash chain a slot sits on; zrcTileCacheTilesAt walks the same stack of layers at one grid position
field:dtCompressedTile::salt	BOUND	the salt half of a ZrcCompressedTileRef, turned over by zrcTileCacheRemoveTile so the reference stops resolving
field:dtCrowdAgent::active	BOUND	the liveness a ZrcAgentRef carries: zrcCrowdAgentRefAt reports 0 for a free slot and every entry point refuses a reference whose slot is not active
field:dtCrowdAgent::boundary	BOUND	read through zrcCrowdAgentBoundaryCenter and zrcCrowdAgentBoundarySegments; a non-copyable dtLocalBoundary, so it cannot cross inside ZrcCrowdAgent
field:dtCrowdAgent::cornerFlags	BOUND	ZrcCrowdCorner.flags, copied out by zrcCrowdAgentCorners
field:dtCrowdAgent::cornerPolys	BOUND	ZrcCrowdCorner.poly, copied out by zrcCrowdAgentCorners
field:dtCrowdAgent::cornerVerts	BOUND	ZrcCrowdCorner.position, copied out by zrcCrowdAgentCorners
field:dtCrowdAgent::corridor	BOUND	read through zrcCrowdAgentCorridorInfo and zrcCrowdAgentCorridorPath; it embeds a non-copyable dtPathCorridor so it cannot cross inside ZrcCrowdAgent
field:dtCrowdAgent::desiredSpeed	BOUND	ZrcCrowdAgent.desired_speed
field:dtCrowdAgent::disp	BOUND	ZrcCrowdAgent.displacement
field:dtCrowdAgent::dvel	BOUND	ZrcCrowdAgent.desired_velocity
field:dtCrowdAgent::ncorners	BOUND	ZrcCrowdAgent.corner_count
field:dtCrowdAgent::neis	BOUND	ZrcCrowdNeighbour, copied out by zrcCrowdAgentNeighbours
field:dtCrowdAgent::nneis	BOUND	ZrcCrowdAgent.neighbour_count
field:dtCrowdAgent::npos	BOUND	ZrcCrowdAgent.position
field:dtCrowdAgent::nvel	BOUND	ZrcCrowdAgent.avoided_velocity
field:dtCrowdAgent::params	BOUND	ZrcCrowdAgent.params
field:dtCrowdAgent::partial	BOUND	ZrcCrowdAgent.partial
field:dtCrowdAgent::state	BOUND	ZrcCrowdAgent.state
